mom,partner,inf,nmales,res_status,maleageclass,hrsobs,realdad,group,DSI,rDSI,dyad,preg_DSI,doc_infant,score_doc,score_doc30
ph,bf,yg,10,1,sam1,1.75,0,PHG,0,0,bf_ph,0.417256758,9/6/2014,0,-1.52E-18
sn,bf,yg,10,1,adm,1.75,0,PHG,0,0,bf_sn,0,9/6/2014,0.602872547,0.59167957
xc,bf,yg,10,1,sam1,1.75,0,PHG,0,0,bf_xc,0.102577308,9/6/2014,0.106999125,0.114894834
jy,bf,yg,10,1,sam2,1.75,0,PHG,0,0,bf_jy,0.106238982,9/6/2014,0.603994435,0.594913696
bt,bf,yg,10,1,adm,1.75,0,PHG,0,0,bf_bt,0.051288654,9/6/2014,0.885211798,0.875171373
pz,bf,yg,10,1,adm,1.75,0,PHG,1.247689807,1.87153471,bf_pz,0.132473256,9/6/2014,0.77591191,0.793295605
bf,oz,yg,10,1,sam2,1.75,1,PHG,7.382951906,1.138546299,bf_oz,9.257095062,9/6/2014,0.775375777,0.711323493
yn,by,ql,7,1,adm,0.25,0,ENK,0,0,by_yn,0.08213815,4/27/2015,1,1
yr,by,ql,7,1,sam3,0.25,0,ENK,0.461777036,0.692665553,by_yr,0.807926219,4/27/2015,0.716097358,0.70179055
tp,by,ql,7,1,adm,0.25,0,ENK,1.740562621,0.635193666,by_tp,2.165143123,4/27/2015,0.54104615,0.568981464
s1,by,ql,7,1,adm,0.25,1,ENK,12.71019063,10.12040828,by_s1,1.264757778,4/27/2015,0.403573096,0.400522405
yy,by,ql,7,1,sam1,0.25,0,ENK,0,0,by_yy,2.249041535,4/27/2015,0,0
by,jj,ql,7,1,sam3,0.25,0,ENK,0,0,by_jj,2.800235367,4/27/2015,0.445974941,0.456209145
fd,bt,gj,9,1,adm,1.5,0,PHG,0,0,fd_bt,0.135762007,5/23/2014,0.825489173,0.829220421
sn,fd,gj,9,1,adm,1.5,0,PHG,1.13190362,1.107052131,fd_sn,0.282616399,5/23/2014,0.713431957,0.755537327
pz,fd,gj,9,1,adm,1.5,0,PHG,0.084127222,0.126190833,fd_pz,2.026838376,5/23/2014,0.746035391,0.8464844
oz,fd,gj,9,1,sam2,1.5,0,PHG,0,0,fd_oz,0.441695848,5/23/2014,0.712183133,0.709518557
ph,fd,gj,9,1,sam1,1.5,0,PHG,0.731373225,0.506256539,fd_ph,0.359491983,5/23/2014,0,-1.52E-18
jy,fd,gj,9,1,sam2,1.5,0,PHG,0,0,fd_jy,0.25755906,5/23/2014,0.57679349,0.580756706
ez,fd,gj,9,1,sam1,1.5,0,PHG,0.086250282,0.129375423,fd_ez,1.606954492,5/23/2014,0.169524412,0.18592489
oe,fd,gj,9,1,adm,1.5,1,PHG,0.949941975,1.424912963,fd_oe,6.840450382,5/23/2014,1,1
sn,fd,gx,8,1,adm,0.25,0,PHG,0,0,fd_sn,0.684151717,7/21/2015,0.690037038,0.709732997
ph,fd,gx,8,1,sam2,0.25,0,PHG,0,0,fd_ph,1.144364851,7/21/2015,0.203445084,0.221738093
jy,fd,gx,8,1,sam3,0.25,0,PHG,0,0,fd_jy,0,7/21/2015,1,0.982784587
bt,fd,gx,8,1,adm,0.25,0,PHG,4.811356947,0.127396191,fd_bt,0.524352858,7/21/2015,0.826304071,0.746466117
pz,fd,gx,8,1,adm,0.25,0,PHG,49.1783251,63.29434033,fd_pz,1.240483004,7/21/2015,0.734293697,0.80938232
oe,fd,gx,8,1,adm,0.25,0,PHG,0,0,fd_oe,0.937025032,7/21/2015,0.887564712,0.975650318
oz,fd,gx,8,1,sam3,0.25,1,PHG,3.456901945,5.185352917,fd_oz,1.739807545,7/21/2015,0.987229497,0.969633532
oz,fx,gn,9,1,sam2,0.5,0,PHG,0,0,fx_oz,0.183187256,6/23/2014,0.692856227,0.702191294
