dadid,natalto,group_next,lact_residence,nextsire,nmales,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,momid,partner,inf,score_lac,male_dob,score_doc,male_dob_est,age_doc,cf_DSI,cf_rDSI,l_DSI,score_doc30,res_status_next,dyad,mom,partner,inf,realdad,score_doc30
oe,PHG,PHG,PHG,oz,10,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,1,oz,bf,ye,0.621937961,9/18/2006,0.775375777,9/18/2006,7.967145791,9.554057851,5.050016835,NA,0.711323493,1,bf oz,bf,oz,yg,1,0.711323493
tp,ENK,ENK,ENK,jj,5,3/29/2014,4/8/2013,10/3/2013,2/5/2014,0,1,by,jj,qe,0,11/20/2006,0,11/20/2006,7.353867214,0.203299071,0.406598142,0.563426261,0,1,by jj,s1,by,ql,1,0.400522405
jj,ENK,ENK,ENK,s1,7,4/27/2015,3/29/2014,9/23/2014,2/5/2015,0,1,s1,by,qf,0.270043312,NA,0.403573096,10/1/2001,13.5687885,1.185424277,2.370848555,2.668083406,0.400522405,1,by s1,oe,fd,gj,1,1
oe,PHG,PHG,PHG,oz,8,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,1,oz,fd,gj,0.877820571,9/18/2006,0.987229497,9/18/2006,8.837782341,2.607122204,5.214244408,0.095593541,0.969633532,1,fd oz,oz,fd,gx,1,0.969633532
jy,PHG,PHG,PHG,bt,9,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,1,bt,fx,gn,0.805575843,NA,0.729294505,6/30/2001,14.31622177,0,0,1.680260248,0.669948394,1,fx bt,fx,jy,gn,1,0.57961507
bt,PHG,PHG,PHG,jy,8,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,1,jy,oy,kn,0.547387002,5/4/2006,1,5/4/2006,9.229295003,3.059743489,3.909218678,0.136883959,0.994998049,1,oy jy,qc,yr,qo,1,0.682636119
tp,ENK,ENK,ENK,yr,6,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,1,qn,yr,qw,0.659640131,5/17/2007,0.670667049,5/17/2007,8.150581793,0.620646257,1.241292513,0.21779863,0.643657101,1,qn yr,qn,yr,qm,1,0.643657101
oe,PHG,PHG,PHG,oz,10,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,1,ur,oz,cu,0.565705854,9/18/2006,0.741781897,9/18/2006,7.871321013,15.37053126,6.664140263,NA,0.674383752,1,ur oz,qn,tp,qw,1,0.783384246
tp,ENK,ENK,ENK,yr,6,2/20/2015,12/22/2013,6/18/2014,11/1/2014,0,1,ut,yr,uw,0.76902891,5/17/2007,0.556118525,5/17/2007,7.764544832,1.131303172,2.262606345,0.041662723,0.475298493,1,ut yr,tp,qp,qy,1,0.991208967
tp,ENK,ENK,ENK,yr,5,11/4/2014,9/16/2013,3/13/2014,8/18/2014,0,1,uv,yr,cf,0.598336319,5/17/2007,0.695660134,5/17/2007,7.468856947,0.249191617,0.498383234,NA,0.804179786,1,uv yr,yn,tr,rh,1,1
oe,PHG,PHG,PHG,oz,10,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,bf,bt,ye,0.771890499,NA,0.885211798,6/30/2001,13.18548939,0,0,0.098393969,0.875171373,1,bf bt,tr,bt,rq,1,0.769661569
oe,PHG,PHG,PHG,oz,10,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,ez,bf,ye,0.106375235,8/14/2007,0.248015019,8/14/2007,7.063655031,0,0,NA,0.253333514,1,bf ez,ty,jy,ru,1,0.997725827
oe,PHG,PHG,PHG,oz,10,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,jy,bf,ye,0.499458809,5/4/2006,0.603994435,5/4/2006,8.342231348,0,0,0,0.594913696,1,bf jy,ua,yr,av,1,0.851401708
oe,PHG,PHG,PHG,oz,10,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,ph,bf,ye,0,9/6/2007,0,9/6/2007,7.000684463,0.235855159,0.471710318,0.116374833,-1.52E-18,1,bf ph,uj,jy,zu,1,0.996340532
oe,PHG,PHG,PHG,oz,10,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,pz,bf,ye,0.794053125,5/4/2000,0.77591191,5/4/2000,14.34086242,1.435841195,2.87168239,2.521563231,0.793295605,1,bf pz,ur,oz,cp,1,0.674383752
tp,ENK,ENK,ENK,jj,5,3/29/2014,4/8/2013,10/3/2013,2/5/2014,0,0,s1,by,qe,0.502486391,NA,0.530726708,10/1/2001,12.49007529,1.441418079,2.882836158,0.461161677,0.447761803,1,by s1,ut,tp,uw,1,0.818863179
tp,ENK,ENK,ENK,jj,5,3/29/2014,4/8/2013,10/3/2013,2/5/2014,0,0,sn,by,qe,1,NA,1,6/30/2001,12.74469541,0.0721566,0.144313201,3.197528077,1,1,by sn,uv,yr,cj,1,0.804179786
jj,ENK,ENK,ENK,s1,7,4/27/2015,3/29/2014,9/23/2014,2/5/2015,0,0,yn,by,qf,1,9/24/2005,1,9/24/2005,9.587953457,0,0,NA,1,1,by yn,ux,yn,yo,1,1
jj,ENK,ENK,ENK,s1,7,4/27/2015,3/29/2014,9/23/2014,2/5/2015,0,0,yr,by,qf,0.638127962,5/17/2007,0.716097358,5/17/2007,7.945242984,0,0,0.036909492,0.70179055,1,by yr,,,,,
jj,ENK,ENK,ENK,s1,7,4/27/2015,3/29/2014,9/23/2014,2/5/2015,0,0,yy,by,qf,0,1/22/2009,0,1/22/2009,6.258726899,0,0,NA,0,1,by yy,,,,,
oe,PHG,PHG,PHG,oz,8,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,fd,bt,gj,0.86115852,NA,0.826304071,6/30/2001,14.05612594,0,0,0.419055698,0.746466117,1,fd bt,,,,,
oe,PHG,PHG,PHG,oz,8,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,jy,fd,gj,0.747433895,5/4/2006,1,5/4/2006,9.212867899,0,0,0,0.982784587,1,fd jy,,,,,
