prt1,prt2,momid,partner,infid,sample,dadid,natalto,doc_next_infant,doc_infant,resumecycl,realdad,nextdad,group,dyad,DSI,rDSI,score_cyclf,PHG,dyad_index,prt1_index,prt2_index
bf,ez,bf,ez,ye,7,oe,PHG,9/6/2014,6/6/2013,4/29/2014,0,0,PHG,bfez,0,0,0.222443112,1,2,1,5
pz,bf,bf,pz,ye,7,oe,PHG,9/6/2014,6/6/2013,4/29/2014,0,0,PHG,bfpz,1.435841195,2.87168239,0.797672722,1,7,16,1
bt,bf,bf,bt,ye,7,oe,PHG,9/6/2014,6/6/2013,4/29/2014,0,0,PHG,bfbt,0,0,0.842757719,1,1,2,1
ph,bf,bf,ph,ye,7,oe,PHG,9/6/2014,6/6/2013,4/29/2014,0,0,PHG,bfph,0.235855159,0.471710318,0,1,6,15,1
jy,bf,bf,jy,ye,7,oe,PHG,9/6/2014,6/6/2013,4/29/2014,0,0,PHG,bfjy,0,0,0.586658921,1,3,9,1
oz,bf,bf,oz,ye,7,oe,PHG,9/6/2014,6/6/2013,4/29/2014,0,1,PHG,bfoz,9.554057851,5.050016835,0.696688183,1,5,14,1
oe,bf,bf,oe,ye,7,oe,PHG,9/6/2014,6/6/2013,4/29/2014,1,0,PHG,bfoe,6.171765862,9.537737082,1,1,4,11,1
jy,bf,bf,jy,yg,8,oz,PHG,2/19/2016,9/6/2014,9/21/2015,0,0,PHG,bfjy,11.74724835,7.433173402,1,1,3,9,1
pz,bf,bf,pz,yg,8,oz,PHG,2/19/2016,9/6/2014,9/21/2015,0,0,PHG,bfpz,0,0,0.660646125,1,7,16,1
bt,bf,bf,bt,yg,8,oz,PHG,2/19/2016,9/6/2014,9/21/2015,0,0,PHG,bfbt,0,0,0.743912827,1,1,2,1
sn,bf,bf,sn,yg,8,oz,PHG,2/19/2016,9/6/2014,9/21/2015,0,0,PHG,bfsn,0,0,0.509261568,1,8,21,1
ph,bf,bf,ph,yg,8,oz,PHG,2/19/2016,9/6/2014,9/21/2015,0,0,PHG,bfph,0,0,0.28911577,1,6,15,1
