prt1,prt2,momid,partner,samples,inf,lact_residence,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,score_lac,male_dob,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
bf,bt,bf,bt,46,ye,PHG,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,0.771890499,NA,0.098393969,bf_bt,1,1,1,2
fh,bf,bf,fh,46,ye,PHG,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,0.357948113,4/26/2007,0.686927757,bf_fh,1,2,7,1
jy,bf,bf,jy,46,ye,PHG,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,0.499458809,5/4/2006,0,bf_jy,1,3,10,1
oe,bf,bf,oe,46,ye,PHG,9/6/2014,6/6/2013,12/1/2013,4/29/2014,1,0,1,10/30/2004,0.197352416,bf_oe,1,4,12,1
ph,bf,bf,ph,46,ye,PHG,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,0,9/6/2007,0.116374833,bf_ph,1,6,16,1
pz,bf,bf,pz,46,ye,PHG,9/6/2014,6/6/2013,12/1/2013,4/29/2014,0,0,0.794053125,5/4/2000,2.521563231,bf_pz,1,7,17,1
bt,bf,bf,bt,59,yg,PHG,NA,9/6/2014,3/3/2015,9/21/2015,0,0,0.751521116,NA,0.309055979,bf_bt,1,1,2,1
jy,bf,bf,jy,59,yg,PHG,NA,9/6/2014,3/3/2015,9/21/2015,0,0,0.964191953,5/4/2006,0.06294575,bf_jy,1,3,10,1
oz,bf,bf,oz,59,yg,PHG,NA,9/6/2014,3/3/2015,9/21/2015,1,0,0.930081536,9/18/2006,3.182300199,bf_oz,1,5,15,1
ph,bf,bf,ph,59,yg,PHG,NA,9/6/2014,3/3/2015,9/21/2015,0,0,0.219881595,9/6/2007,0.289241068,bf_ph,1,6,16,1
pz,bf,bf,pz,59,yg,PHG,NA,9/6/2014,3/3/2015,9/21/2015,0,0,0.84345689,5/4/2000,4.83932226,bf_pz,1,7,17,1
sn,bf,bf,sn,59,yg,PHG,NA,9/6/2014,3/3/2015,9/21/2015,0,0,0.716592124,NA,0,bf_sn,1,8,23,1
xc,bf,bf,xc,59,yg,PHG,NA,9/6/2014,3/3/2015,9/21/2015,0,0,0,7/1/2008,0.341467444,bf_xc,1,9,37,1
by,jj,by,jj,17,qe,ENK,3/29/2014,4/8/2013,10/3/2013,2/5/2014,0,1,0,11/20/2006,0.563426261,by_jj,0,10,3,9
s1,by,by,s1,17,qe,ENK,3/29/2014,4/8/2013,10/3/2013,2/5/2014,0,0,0.502486391,NA,0.461161677,by_s1,0,11,21,3
