prt1,prt2,momid,partner,infid,samples,nextdad,realdad,momgrp,doc_infant,dob_infant,group,score_preg,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
bf,bt,bf,bt,yg,44,0,0,PHG,9/6/2014,3/3/2015,PHG,0.875227129,0.051070273,bf_bt,1,1,1,2
jy,bf,bf,jy,yg,44,0,0,PHG,9/6/2014,3/3/2015,PHG,0.616595447,0.105824553,bf_jy,1,2,10,1
oz,bf,bf,oz,yg,44,0,1,PHG,9/6/2014,3/3/2015,PHG,0.825705431,9.341627757,bf_oz,1,3,15,1
ph,bf,bf,ph,yg,44,0,0,PHG,9/6/2014,3/3/2015,PHG,0.032714576,0.419307212,bf_ph,1,4,16,1
pz,bf,bf,pz,yg,44,0,0,PHG,9/6/2014,3/3/2015,PHG,0.7889054,0.134380365,bf_pz,1,5,17,1
sn,bf,bf,sn,yg,44,0,0,PHG,9/6/2014,3/3/2015,PHG,0.665778262,0,bf_sn,1,6,22,1
xc,bf,bf,xc,yg,44,0,0,PHG,9/6/2014,3/3/2015,PHG,0.0226173,0.102140545,bf_xc,1,7,34,1
by,jj,by,jj,qf,71,0,1,ENK,3/29/2014,9/23/2014,ENK,0.077258287,5.19626279,by_jj,0,8,3,9
s1,by,by,s1,qf,71,1,0,ENK,3/29/2014,9/23/2014,ENK,0.082217191,1.807901244,by_s1,0,9,21,3
tp,by,by,tp,qf,71,0,0,ENK,3/29/2014,9/23/2014,ENK,0.726942528,0.274098272,by_tp,0,10,23,3
jj,by,by,jj,ql,48,0,0,ENK,4/27/2015,10/22/2015,ENK,0.536132979,2.800235367,by_jj,0,8,9,3
s1,by,by,s1,ql,48,0,1,ENK,4/27/2015,10/22/2015,ENK,0.17802671,1.264757778,by_s1,0,9,21,3
tp,by,by,tp,ql,48,0,0,ENK,4/27/2015,10/22/2015,ENK,0.50438602,2.165143123,by_tp,0,10,23,3
yn,by,by,yn,ql,48,0,0,ENK,4/27/2015,10/22/2015,ENK,1,0.08213815,by_yn,0,11,35,3
yr,by,by,yr,ql,48,0,0,ENK,4/27/2015,10/22/2015,ENK,0.688266634,0.807926219,by_yr,0,12,37,3
yy,by,by,yy,ql,48,0,0,ENK,4/27/2015,10/22/2015,ENK,0.008916773,2.249041535,by_yy,0,13,38,3
bt,dz,dz,bt,xt,27,0,0,PHG,8/31/2013,2/25/2014,PHG,0.770038654,0.089229432,dz_bt,1,14,2,4
dz,ez,dz,ez,xt,27,0,0,PHG,8/31/2013,2/25/2014,PHG,0.04069173,0.814015809,dz_ez,1,15,4,5
fh,dz,dz,fh,xt,27,0,0,PHG,8/31/2013,2/25/2014,PHG,0.35775505,1.641706778,dz_fh,1,16,7,4
dz,jy,dz,jy,xt,27,0,0,PHG,8/31/2013,2/25/2014,PHG,0.462887185,0.490706097,dz_jy,1,17,4,10
dz,oe,dz,oe,xt,27,0,1,PHG,8/31/2013,2/25/2014,PHG,0.999975921,0.083225594,dz_oe,1,18,4,13
dz,pz,dz,pz,xt,27,0,0,PHG,8/31/2013,2/25/2014,PHG,0.809186577,0,dz_pz,1,19,4,17
dz,yn,dz,yn,xt,27,0,0,PHG,8/31/2013,2/25/2014,PHG,0.927655041,0,dz_yn,1,20,4,35
dz,yr,dz,yr,xt,27,0,0,PHG,8/31/2013,2/25/2014,PHG,0.3677918,0,dz_yr,1,21,4,37
